,id,stationCode,stationName,location
898,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101526,"Opposite KFC, Cunnigham Road","{'type': 'Point', 'coordinates': [77.59344119578601, 12.988898968411359]}"
899,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101527,"Opposite St. Johns Medial College, Koramangala","{'type': 'Point', 'coordinates': [77.61816747486591, 12.928546676610198]}"
900,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101528,"Sevasadan Institute, Koramangala","{'type': 'Point', 'coordinates': [77.62772594, 12.92494865]}"
901,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101529,"MICO Layout Bus Stop opposite Gopalan Mall, BTM","{'type': 'Point', 'coordinates': [77.60004221, 12.91384949]}"
902,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101530,Metro Pillar 160 opposite Canara bank,"{'type': 'Point', 'coordinates': [77.614972, 12.973599]}"
903,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101531,"Bescom Office, MG Road","{'type': 'Point', 'coordinates': [77.613822, 12.973925]}"
904,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101532,Backside Officers Mess,"{'type': 'Point', 'coordinates': [77.618366, 12.970757]}"
905,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101533,"12th Main Road, HAL 2nd Stage","{'type': 'Point', 'coordinates': [77.641506, 12.970429]}"
906,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101534,"MP Office, Jayanagar","{'type': 'Point', 'coordinates': [77.58607952, 12.91978269]}"
907,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101536,"Colive, Akshaya Vasudha","{'type': 'Point', 'coordinates': [77.69465212, 12.97120506]}"
908,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101537,Alta Vista,"{'type': 'Point', 'coordinates': [77.67348545, 12.8383715]}"
909,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101539,"Dr. BR Ambedkar Park, EGL Entrance","{'type': 'Point', 'coordinates': [77.64248879, 12.95454132]}"
910,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101540,CMRIT College Inside ,"{'type': 'Point', 'coordinates': [77.71233157, 12.96683594]}"
